Epoch: 1, train_l: 28.7793, train_a: 0.6660, val_l: 29.0499, val_a: 0.6700, time: 23.4745
Epoch: 2, train_l: 28.7497, train_a: 0.6670, val_l: 29.0096, val_a: 0.6707, time: 23.1214
Epoch: 3, train_l: 28.7478, train_a: 0.6651, val_l: 28.9568, val_a: 0.6737, time: 23.0295
Epoch: 4, train_l: 28.6638, train_a: 0.6670, val_l: 28.9190, val_a: 0.6730, time: 22.9514
Epoch: 5, train_l: 28.6487, train_a: 0.6682, val_l: 28.8784, val_a: 0.6733, time: 22.9306
Epoch: 6, train_l: 28.6237, train_a: 0.6659, val_l: 28.8377, val_a: 0.6727, time: 22.9155
Epoch: 7, train_l: 28.5408, train_a: 0.6673, val_l: 28.7926, val_a: 0.6730, time: 22.9675
Epoch: 8, train_l: 28.5351, train_a: 0.6666, val_l: 28.7585, val_a: 0.6717, time: 23.0448
Epoch: 9, train_l: 28.5582, train_a: 0.6676, val_l: 28.7279, val_a: 0.6717, time: 23.0060
Epoch: 10, train_l: 28.5038, train_a: 0.6680, val_l: 28.6842, val_a: 0.6727, time: 23.0343
Epoch: 11, train_l: 28.4437, train_a: 0.6684, val_l: 28.6657, val_a: 0.6737, time: 22.9450
Epoch: 12, train_l: 28.4365, train_a: 0.6687, val_l: 28.6214, val_a: 0.6753, time: 22.9871
Epoch: 13, train_l: 28.4197, train_a: 0.6673, val_l: 28.5946, val_a: 0.6727, time: 22.9302
Epoch: 14, train_l: 28.4026, train_a: 0.6700, val_l: 28.5657, val_a: 0.6737, time: 23.1976
Epoch: 15, train_l: 28.3679, train_a: 0.6706, val_l: 28.5255, val_a: 0.6740, time: 23.0379
Epoch: 16, train_l: 28.3367, train_a: 0.6709, val_l: 28.5067, val_a: 0.6743, time: 22.8994
Epoch: 17, train_l: 28.2993, train_a: 0.6695, val_l: 28.4788, val_a: 0.6753, time: 23.0053
Epoch: 18, train_l: 28.3017, train_a: 0.6694, val_l: 28.4481, val_a: 0.6770, time: 23.0214
Epoch: 19, train_l: 28.2591, train_a: 0.6713, val_l: 28.4228, val_a: 0.6773, time: 23.0269
Epoch: 20, train_l: 28.2291, train_a: 0.6709, val_l: 28.3941, val_a: 0.6763, time: 23.0239
Epoch: 21, train_l: 28.2614, train_a: 0.6725, val_l: 28.3700, val_a: 0.6767, time: 23.0174
Epoch: 22, train_l: 28.2311, train_a: 0.6738, val_l: 28.3431, val_a: 0.6763, time: 22.9576
Epoch: 23, train_l: 28.1742, train_a: 0.6733, val_l: 28.3228, val_a: 0.6780, time: 22.9763
Epoch: 24, train_l: 28.2015, train_a: 0.6738, val_l: 28.2964, val_a: 0.6777, time: 22.9528
Epoch: 25, train_l: 28.1667, train_a: 0.6715, val_l: 28.2815, val_a: 0.6787, time: 23.0000
Epoch: 26, train_l: 28.1253, train_a: 0.6724, val_l: 28.2526, val_a: 0.6790, time: 23.0248
Epoch: 27, train_l: 28.1330, train_a: 0.6736, val_l: 28.2288, val_a: 0.6773, time: 22.9753
Epoch: 28, train_l: 28.1532, train_a: 0.6721, val_l: 28.2106, val_a: 0.6777, time: 22.9857
Epoch: 29, train_l: 28.0544, train_a: 0.6739, val_l: 28.1912, val_a: 0.6777, time: 22.9952
Epoch: 30, train_l: 28.0806, train_a: 0.6753, val_l: 28.1714, val_a: 0.6803, time: 22.9655
